row,col,value
2712,170,33.0110016
2712,3832,0
2713,3831,0
2720,3126,0
2724,3120,0
2724,3819,0
2733,3545,0
2734,2577,0
2735,3101,0
2737,3802,0
2739,162,40.605999
2739,3799,0
2744,3087,0
2744,3791,0
2745,3086,0
2747,3786,0
2749,160,42.3219986
2756,3768,0
2759,2759,0
2759,3761,0
2761,158,43.276001
2762,3753,0
2765,3613,0
2765,3744,0
2767,157,43.6380005
2768,3055,0
2769,3729,0
2771,3050,0
2773,156,47.2389984
2774,2585,0
2774,3667,0
2774,3694,0
2776,3041,0
2782,155,47.6010017
2782,3030,0
2794,3006,0
2798,2997,0
2800,154,46.4259987
2800,2992,0
2801,154,46.3510017
2803,2984,0
2804,2843,0
2807,2971,0
2810,2867,0
2815,2911,0
2815,2912,0
2815,2915,0
2843,158,42.5209999
2867,2604,0
2899,172,45.1479988
2914,2607,0
2915,2607,0
2919,164,48.375
2927,158,47.9099998
2939,150,47.1735306
2955,141,48.7709999
2966,136,43.8899994
2989,128,41.4640007
2992,2665,0
3001,125,43.4458466
3005,2673,0
3023,2682,0
3038,1424,0
3048,1404,0
3051,2692,0
3055,2693,0
3058,1375,0
3060,121,62.2130013
3063,1288,0
3063,1301,0
3063,1348,0
3064,1284,0
3064,1338,0
3067,1270,0
3068,1264,0
3069,1256,0
3070,122,59.8759995
3070,1227,0
3070,1228,0
3070,1242,0
3076,123,58.2630005
3080,1213,0
3082,124,54.7763329
3084,1492,45.0859985
3084,2698,0
3092,1211,0
3095,127,54.2150002
3101,2699,0
3102,2699,0
3105,130,56.0806656
3106,2699,0
3123,2698,0
3128,1200,0
3129,137,58.3110008
3132,2697,0
3137,1196,0
3138,2696,0
3144,142,61.257
3145,1192,0
3148,2694,0
3151,1522,52.5279999
3154,1187,0
3165,1180,0
3172,1175,0
3176,160,52.3825569
3176,161,52.3238907
3176,162,52.2961655
3177,159,52.3531494
3177,160,52.2654572
3178,159,52.4897156
3178,160,52.3539276
3179,160,52.382
3180,160,52.7750015
3182,1167,0
3182,2683,0
3183,162,53.4547501
3183,163,53.4604797
3184,163,53.5971451
3184,164,53.7267494
3185,164,53.8031578
3186,164,53.9609146
3186,165,54.0390015
3187,165,54.1026573
3187,166,54.213501
3187,167,54.5943336
